SECTION_DE,SECTION_LE,ROAD_NUMBE,ROAD_HIERA,NO_OF_LANE,SECTION_WI,SPEED_LIMI,ROAD_CLASS,ROAD_NAME,DISTRICT_N,WARD_NAME,NSG_USRN,EAST_SUSSE,Section_ID,X,Y,Route_ID,Zone
2,11,U7625,M105,2,6.5,60,RU,ASHDOWN CHASE,3 Wealden,Maresfield,42702483,4b,1440U7625_/0012,0,981,492,2
2,13,U7310,M105,2,6.5,30,UU,CHEQUERS GRANGE,3 Wealden,Forest Row,42702714,4b,1440U7310_/0012,0,946,992,1
2,13,U7625,M105,2,6.5,60,RU,ASHDOWN CHASE,3 Wealden,Maresfield,42702483,4b,1440U7625_/0022,0,106,629,2
2,16,U7529,M105,2,6.5,60,RU,OAKTREE COTTAGES,3 Wealden,Danehill,42700794,4b,1440U7529_/0012,0,386,167,2
2,22,U7396,M105,2,6.5,30,RU,Medway Drive,3 Wealden,Forest Row,42700264,4b,1440U7396_/0018,0,1,230,1
2,22,U7472,M105,2,6.5,60,RU,PARROCK LANE,3 Wealden,Hartfield,42702717,4b,1440U7472_/0013,0,956,84,1
2,22,U7852,M105,2,6.5,60,RU,PERRYMANS LANE,3 Wealden,Danehill,42700793,4b,1440U7852_/0022,0,1,691,2
2,25,U7464,M105,2,6.5,60,RU,FRESHFIELD BANK,3 Wealden,Forest Row,42700258,4b,1440U7464_/0015,0,601,871,1
2,29,U7625,M105,2,6.5,60,RU,ASHDOWN CHASE,3 Wealden,Maresfield,42702483,4b,1440U7625_/0020,0,6,930,2
2,34,U7528,M105,2,6.5,60,RU,TOMTITTS LANE,3 Wealden,Forest Row,42701985,4b,1440U7528_/0040,0,396,231,1
2,41,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,1440U7462_/0020,0,321,719,1
2,44,U7464,M105,2,6.5,60,RU,FRESHFIELD BANK,3 Wealden,Forest Row,42700258,4b,1440U7464_/0012,0,351,199,1
2,46,U7464,M105,2,6.5,60,RU,GAGE RIDGE,3 Wealden,Forest Row,42700257,4b,1440U7464_/0040,0,351,831,1
2,54,U8627,M105,2,3.78,60,RU,CHAPEL LANE,3 Wealden,Forest Row,42700269,4b,1440U8627_/0015,0,691,183,1
2,57,U7612,M105,2,6.5,60,RU,CHURCHFIELDS,3 Wealden,Maresfield,42700483,4b,1440U7612_/0025,0,996,719,2
2,63,U7465,M105,2,6.5,60,RU,BLENHEIM FIELDS,3 Wealden,Forest Row,42700276,4b,1440U7465_/0020,0,236,860,1
2,77,U7612,M105,2,6.5,60,RU,OAKWOOD PARK,3 Wealden,Maresfield,42700485,4b,1440U7612_/0010,0,1,496,2
2,78,U7464,M105,2,6.5,60,RU,KIDBROOKE RISE,3 Wealden,Forest Row,42700255,4b,1440U7464_/0030,0,756,203,1
2,78,U7521,M105,2,6.5,60,RU,ASHDOWN CLOSE,3 Wealden,Forest Row,42700261,4b,1440U7521_/0025,0,1,509,1
2,82,U7612,M105,2,6.5,60,RU,CHURCHFIELDS,3 Wealden,Maresfield,42700483,4b,1440U7612_/0020,0,6,197,2
2,85,U7396,M105,2,6.5,60,RU,MEDWAY DRIVE,3 Wealden,Forest Row,42700264,4b,1440U7396_/0010,0,1,244,1
2,95,U7611,M105,2,6.5,60,RU,HILLMEAD,3 Wealden,Maresfield,42700535,4b,1440U7611_/0020,0,261,539,2
2,96,U7611,M105,2,6.5,60,RU,CLOCKHOUSE LANE,3 Wealden,Maresfield,42700534,4b,1440U7611_/0010,0,1,684,2
2,100,U7528,M105,2,6.5,60,RU,HIGHGATE ROAD,3 Wealden,Forest Row,42701984,4b,1440U7528_/0030,0,816,788,1
2,106,U7612,M105,2,6.5,60,RU,OAKWOOD PARK,3 Wealden,Maresfield,42700485,4b,1440U7612_/0030,0,681,857,2
2,112,U7625,M105,2,6.5,60,RU,ASHDOWN CHASE,3 Wealden,Maresfield,42702483,4b,1440U7625_/0010,0,1,693,2
2,116,U7495,M105,2,6.5,60,RU,FURNERS GREEN LANE,3 Wealden,Danehill,42702311,4b,1440U7495_/0020,0,316,376,2
2,126,U7395,M105,2,6.5,60,RU,PARK CRESCENT,3 Wealden,Forest Row,42700266,4b,1440U7395_/0010,0,996,173,1
2,127,U7530,M105,2,6.5,60,RU,BLACKLANDS CRESCENT,3 Wealden,Forest Row,42700263,4b,1440U7530_/0010,0,1,699,1
2,141,U7310,M105,2,6.5,30,UU,CHEQUERS GRANGE,3 Wealden,Forest Row,42702714,4b,1440U7310_/0010,0,601,977,1
2,141,U7397,M105,2,6.5,60,RU,STONEDENE CLOSE,3 Wealden,Forest Row,42700265,4b,1440U7397_/0010,0,1,794,1
2,147,U7309,M105,2,6.5,60,RU,MILLBROOK HILL,3 Wealden,Danehill,42701671,4b,1440U7309_/0010,0,1,268,1
2,158,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,1440U7462_/0010,0,6,316,1
2,159,U7301,M105,2,6.5,60,RU,WALHATCH CLOSE,3 Wealden,Forest Row,42702753,4b,1440U7301_/0010,0,1,988,1
2,167,U7521,M105,2,6.5,60,RU,STONEPARK DRIVE,3 Wealden,Forest Row,42700259,4b,1440U7521_/0010,0,76,760,1
2,169,U7520,M105,2,6.5,60,RU,HILLSIDE (ONE WAY),3 Wealden,Forest Row,42702135,4b,1440U7520_/0010,0,171,49,1
2,171,U7521,M105,2,6.5,60,RU,POST HORN CLOSE,3 Wealden,Forest Row,42700262,4b,1440U7521_/0040,0,1,973,1
2,175,U7492,M105,2,6.5,60,RU,BAXTERS LANE,3 Wealden,Danehill,42700789,4b,1440U7492_/0010,0,6,836,2
2,184,U7464,M105,2,6.5,60,RU,COLCHESTER VALE,3 Wealden,Forest Row,42700256,4b,1440U7464_/0020,0,356,344,1
2,193,U7529,M105,2,6.5,60,RU,OAKTREE COTTAGES,3 Wealden,Danehill,42700794,4b,1440U7529_/0010,0,6,428,2
2,217,U7395,M105,2,6.5,60,RU,PARK CRESCENT,3 Wealden,Forest Row,42700266,4b,1440U7395_/0015,0,796,798,1
2,222,U7528,M105,2,6.5,60,RU,HATCH END,3 Wealden,Forest Row,42702139,4b,1440U7528_/0010,0,446,483,1
2,224,U7465,M105,2,6.5,60,RU,RIVERSIDE,3 Wealden,Forest Row,42700275,4b,1440U7465_/0010,0,996,751,1
2,266,U7521,M105,2,6.5,60,RU,ASHDOWN CLOSE,3 Wealden,Forest Row,42700261,4b,1440U7521_/0020,0,601,275,1
2,315,U7851,M105,2,6.5,60,RU,COACH AND HORSES LANE,3 Wealden,Danehill,42700784,4b,1440U7851_/0010,0,1,320,2
2,331,U7520,M105,2,6.5,60,RU,LOWER ROAD,3 Wealden,Forest Row,42702137,4b,1440U7520_/0020,0,166,417,1
2,356,U7521,M105,2,6.5,60,RU,POST HORN LANE,3 Wealden,Forest Row,42700260,4b,1440U7521_/0030,0,1,726,1
2,392,U7396,M105,2,6.5,60,RU,MEDWAY DRIVE,3 Wealden,Forest Row,42700264,4b,1440U7396_/0015,0,866,275,1
2,407,U7493,M105,2,6.5,60,RU,COACH LANE,3 Wealden,Danehill,42700788,4b,1440U7493_/0010,0,1,431,2
2,437,U7871,M105,2,6.5,60,RU,COLLINGFORD LANE,3 Wealden,Danehill,42702222,4b,1440U7871_/0010,0,1,770,2
2,446,U7395,M105,2,6.5,60,RU,CHAPEL LANE,3 Wealden,Forest Row,42700269,4b,1440U7395_/0020,0,691,495,1
2,494,U7774,M105,2,6.5,60,RU,OLD ROAD,3 Wealden,Forest Row,42701683,4b,1440U7774_/0010,0,171,592,1
2,507,U7852,M105,2,6.5,60,RU,PERRYMANS LANE,3 Wealden,Danehill,42700793,4b,1440U7852_/0020,0,6,424,2
2,532,U7528,M105,2,6.5,60,RU,UPPER CLOSE,3 Wealden,Forest Row,42702140,4b,1440U7528_/0020,0,386,520,1
2,660,U7464,M105,2,6.5,60,RU,FRESHFIELD BANK,3 Wealden,Forest Row,42700258,4b,1440U7464_/0010,0,556,442,1
2,899,U7811,M105,2,6.5,60,RU,BIRCH GROVE ROAD,3 Wealden,Danehill,42701669,4b,1440U7811_/0010,0,221,323,1
2,904,U7872,M105,2,6.5,60,RU,BOXES LANE,3 Wealden,Danehill,42700787,4b,1440U7872_/0010,0,991,195,2
2,1003,U7494,M105,2,6.5,60,RU,CHURCH LANE,3 Wealden,Danehill,42700778,4b,1440U7494_/0010,0,6,729,2
2,1057,U7846,M105,2,6.5,60,RU,MARSH GREEN LANE,3 Wealden,Hartfield,42700301,4b,1440U7846_/0010,0,1,404,1
2,1327,U7852,M105,2,6.5,60,RU,BROOKHOUSE BOTTOM,3 Wealden,Danehill,42700792,4b,1440U7852_/0010,0,996,69,2
2,1342,U7850,M105,2,6.5,60,RU,TWYFORD LANE,3 Wealden,Danehill,42701669,4b,1440U7850_/0010,0,1,886,1
2,1383,U7845,M105,2,6.5,60,RU,HARTS LANE,3 Wealden,Hartfield,42700299,4b,1440U7845_/0010,0,641,407,1
2,1527,U7495,M105,2,6.5,60,RU,SLIDERS LANE,3 Wealden,Danehill,42700791,4b,1440U7495_/0010,0,1,987,2
2,2023,U7847,M105,2,6.5,60,RU,CHUCK HATCH LANE,3 Wealden,Hartfield,42700302,4b,1440U7847_/0010,0,1,653,1
2,2724,U7472,M105,2,6.5,60,RU,PARROCK LANE,3 Wealden,Hartfield,42700298,4b,1440U7472_/0010,0,986,228,1
2,3651,U7491,M105,2,6.5,60,RU,TANYARD LANE,3 Wealden,Danehill,42700790,4b,1440U7491_/0010,0,1,662,2
99,7,U2346,M105,2,6.5,30,UU,BRADING CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2346_/0022,0,346,472,28
99,9,U2310,M105,2,6.5,30,UU,HAROLD DRIVE,4 Eastbourne,Eastbourne,42701153,4b,1440U2310_/0012,0,376,369,25
99,10,U2271,M105,2,6.5,30,UU,PENTLAND CLOSE,4 Eastbourne,Eastbourne,42702612,4b,1440U2271_/0111,0,506,997,28
99,9,U2224,M105,2,6.5,30,UU,SHANKLIN CLOSE,4 Eastbourne,Eastbourne,13200686,4b,1440U2224_/0138,0,51,640,28
99,10,U2368,M105,2,6.5,30,UU,CANARY QUAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2368_/0012,0,1,14,25
99,10,U2299,M105,2,6.5,30,UU,CANUTE CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2299_/0022,0,371,185,25
99,10,U2192,M105,2,6.5,30,UU,COLLINGWOOD CLOSE,4 Eastbourne,Eastbourne,16901285,4b,1440U2192_/0146,0,756,449,25
99,9,U7327,M105,2,6.5,30,UU,CASTLE BOLTON,3 Wealden,Westham,42701747,4b,1440U7327F/0032,0,626,563,28
99,9,U2304,M105,2,6.5,30,UU,EDMUND CLOSE,4 Eastbourne,Eastbourne,13201239,4b,1440U2304_/0022,0,476,568,25
99,9,U2332,M105,2,6.5,30,UU,STONEGATE CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2332_/0012,0,636,763,28
99,9,U2401,M105,2,6.5,30,UU,VANCOUVER ROAD,4 Eastbourne,Eastbourne,42700470,4b,1440U2401_/0014,0,21,830,26
99,9,U2381,M105,2,6.5,30,UU,CORAL REEF CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2381_/0012,0,576,909,26
99,9,U2350,M105,2,6.5,30,UU,WINDSOR CLOSE,4 Eastbourne,Eastbourne,42700389,4b,1440U2350_/0012,0,121,712,28
99,10,U2293,M105,2,6.5,30,UU,AYSCUE CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2293_/0014,0,486,84,25
99,9,U2314,M105,2,6.5,30,UU,HORSA CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2314_/0022,0,816,831,25
99,10,U2323,M105,2,6.5,30,UU,OFFHAM CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2323_/0012,0,1,423,28
99,10,U2303,M105,2,6.5,30,UU,DITCHLING CLOSE,4 Eastbourne,Eastbourne,13201025,4b,1440U2303_/0012,0,631,417,28
99,10,U2326,M105,2,6.5,30,UU,PLUMPTON CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2326_/0024,0,246,459,28
99,10,U2404,M105,2,6.5,30,UU,SOLOMONS CLOSE,4 Eastbourne,Eastbourne,42702620,4b,1440U2404_/0020,0,646,296,26
99,11,U2294,M105,2,6.5,30,UU,BOSTON CLOSE,4 Eastbourne,Eastbourne,13201166,4b,1440U2294_/0022,0,6,290,25
99,10,U2271,M105,2,6.5,30,UU,HAMBLETON CLOSE,4 Eastbourne,Eastbourne,13200689,4b,1440U2271_/0096,0,161,739,28
99,10,U7142,M105,2,6.5,30,UU,COTSWOLD CLOSE,4 Eastbourne,Eastbourne,42702159,4b,1440U7142_/0024,0,801,550,28
99,10,U2296,M105,2,6.5,30,UU,BROAD OAK CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2296_/0012,0,1,951,28
99,11,U2301,M105,2,6.5,30,UU,CHILTERN CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2301_/0022,0,606,969,28
99,11,U2338,M105,2,6.5,30,UU,CROWHURST CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2338_/0012,0,776,258,28
99,10,U2333,M105,2,6.5,30,UU,THE PORTLANDS,4 Eastbourne,Eastbourne,42700470,4b,1440U2333_/0022,0,616,592,25
99,11,U2271,M105,2,6.5,30,UU,PENTLAND CLOSE,4 Eastbourne,Eastbourne,42702444,4b,1440U2271_/0117,0,341,444,28
99,11,U2372,M105,2,6.5,30,UU,ANTIGUA CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2372_/0012,0,11,28,25
99,11,U2297,M105,2,6.5,30,UU,CABURN CLOSE,4 Eastbourne,Eastbourne,13200912,4b,1440U2297_/0014,0,991,451,28
99,10,U7327,M105,2,6.5,30,UU,PENRITH WAY,3 Wealden,Westham,42701747,4b,1440U7327F/0012,0,221,841,28
99,11,U2380,M105,2,6.5,30,UU,BARRIER REEF WAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2380_/0012,0,901,303,26
99,10,U2295,M105,2,6.5,30,UU,BRITTEN CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2295_/0010,0,701,716,28
99,11,U2334,M105,2,6.5,30,UU,TROSSACHS CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2334_/0022,0,996,64,28
99,11,U2305,M105,2,6.5,30,UU,EGBERT CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2305_/0012,0,61,87,25
99,11,U2371,M105,2,6.5,30,UU,DAYTONA QUAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2371_/0012,0,1,459,25
99,11,U7327B,M105,2,6.5,30,UU,MIDDLEHAM WAY,4 Eastbourne,Eastbourne,42701747,4b,1440U7327B/0026,0,301,654,28
99,11,U2368,M105,2,6.5,30,UU,CANARY QUAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2368_/0014,0,271,591,25
99,11,U2192,M105,2,6.5,30,UU,COLLINGWOOD CLOSE,4 Eastbourne,Eastbourne,42702324,4b,1440U2192_/0142,0,896,826,25
99,11,U2271,M105,2,6.5,30,UU,HAMBLETON CLOSE,4 Eastbourne,Eastbourne,13200680,4b,1440U2271_/0094,0,441,774,28
99,12,U2203,M105,2,6.5,30,UU,ETCHINGHAM ROAD,4 Eastbourne,Eastbourne,32500394,4b,1440U2203_/0033,0,6,6,28
99,11,U2313,M105,2,6.5,30,UU,HEREWARD ROAD,4 Eastbourne,Eastbourne,13200686,4b,1440U2313_/0012,0,841,846,25
99,12,U2291,M105,2,6.5,30,UU,ATHELSTAN CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2291_/0012,0,11,985,25
99,11,U2295,M105,2,6.5,30,UU,BRITTEN CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2295_/0012,0,146,847,28
99,11,U2349,M105,2,6.5,30,UU,NEW COLLEGE CLOSE,4 Eastbourne,Eastbourne,13200662,4b,1440U2349_/0012,0,856,668,28
99,12,U2600,M105,2,6.5,30,UU,LONG BEACH VIEW,4 Eastbourne,Eastbourne,42700470,4b,1440U2600_/0012,0,861,457,26
99,12,U2386,M105,2,6.5,30,UU,ST LAWRENCE WAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2386_/0012,0,71,333,26
99,12,U2326,M105,2,6.5,30,UU,PLUMPTON CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2326_/0022,0,751,27,28
99,12,U2374,M105,2,6.5,30,UU,HAVANA COURT,4 Eastbourne,Eastbourne,42700379,4b,1440U2374_/0012,0,571,275,25
99,12,U2552,M105,2,3.78,30,UU,GRENADA CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2552_/0012,0,1,335,25
99,12,U2307,M105,2,6.5,30,UU,ETHELRED CLOSE,4 Eastbourne,Eastbourne,13201239,4b,1440U2307_/0012,0,596,996,25
99,12,U2316,M105,2,6.5,30,UU,KILPATRICK CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2316_/0012,0,311,27,28
99,12,U2192,M105,2,6.5,30,UU,COLLINGWOOD CLOSE,4 Eastbourne,Eastbourne,42702324,4b,1440U2192_/0144,0,996,65,25
99,11,U2225,M105,2,6.5,30,UU,BORROWDALE CLOSE,4 Eastbourne,Eastbourne,42702628,4b,1440U2225_/0049,0,501,529,28
99,11,U2312,M105,2,6.5,30,UU,HENGIST CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2312_/0012,0,721,799,25
99,12,U7327,M105,2,6.5,30,UU,CASTLE BOLTON,3 Wealden,Westham,42701747,4b,1440U7327F/0036,0,196,426,28
99,12,U2311,M105,2,6.5,30,UU,HASSOCKS CLOSE,4 Eastbourne,Eastbourne,13201026,4b,1440U2311_/0012,0,1,188,28
99,12,U2340,M105,2,6.5,30,UU,CHYNGTON CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2340_/0012,0,1,60,28
99,12,U2561,M105,2,3.78,30,UU,WINDWARD QUAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2315_/0014,0,6,146,25
99,11,U2324,M105,2,6.5,30,UU,PARRY CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2324_/0012,0,596,543,28
99,11,U2331,M105,2,6.5,30,UU,SHEFFIELD PARK WAY,4 Eastbourne,Eastbourne,13201019,4b,1440U2331_/0022,0,261,689,28
99,11,U2333,M105,2,6.5,30,UU,THE PORTLANDS,4 Eastbourne,Eastbourne,42700470,4b,1440U2333_/0012,0,446,888,25
99,11,U2335,M105,2,6.5,30,UU,TWEEDSMUIR CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2335_/0012,0,401,544,28
99,12,U2341,M105,2,6.5,30,UU,EXCEAT CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2341_/0014,0,621,117,28
99,12,U2347,M105,2,6.5,30,UU,ELMWOOD CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2347_/0012,0,511,609,28
99,12,U2222,M105,2,6.5,30,UU,CULVER CLOSE,4 Eastbourne,Eastbourne,13201253,4b,1440U2222_/0136,0,111,919,28
99,12,U2355,M105,2,6.5,30,UU,FALMOUTH CLOSE,4 Eastbourne,Eastbourne,42703067,4b,1440U2355_/0012,0,16,721,25
99,13,U2321,M105,2,6.5,30,UU,LOWTHER CLOSE,4 Eastbourne,Eastbourne,13200487,4b,1440U2321_/0012,0,51,963,28
99,12,U2298,M105,2,6.5,30,UU,CAIRNGORM CLOSE,4 Eastbourne,Eastbourne,42700933,4b,1440U2298_/0022,0,146,648,28
99,12,U2325,M105,2,6.5,30,UU,PILTDOWN WAY,4 Eastbourne,Eastbourne,13201022,4b,1440U2325_/0022,0,1,512,28
99,13,U2275,M105,2,6.5,30,UU,HODCOMBE CLOSE,4 Eastbourne,Eastbourne,42700933,4b,1440U2275_/0046,0,866,483,28
99,12,U2225,M105,2,6.5,30,UU,THE ROOKERY,4 Eastbourne,Eastbourne,13200686,4b,1440U2225_/0012,0,996,902,28
99,13,U2341,M105,2,6.5,30,UU,EXCEAT CLOSE,4 Eastbourne,Eastbourne,13200679,4b,1440U2341_/0012,0,1,219,28
99,13,U2373,M105,2,6.5,30,UU,ST LUCIA WALK,4 Eastbourne,Eastbourne,42702620,4b,1440U2373_/0012,0,676,330,25
99,12,U2325,M105,2,6.5,30,UU,PILTDOWN WAY,4 Eastbourne,Eastbourne,13201022,4b,1440U2325_/0012,0,1,560,28
99,12,U2384,M105,2,6.5,30,UU,HOBART QUAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2384_/0012,0,866,943,26
99,12,U2313,M105,2,6.5,30,UU,HEREWARD ROAD,4 Eastbourne,Eastbourne,42701153,4b,1440U2313_/0014,0,116,626,25
99,13,U2340,M105,2,6.5,30,UU,CHYNGTON CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2340_/0022,0,466,489,28
99,12,U2403,M105,2,6.5,30,UU,PITCAIRN AVENUE,4 Eastbourne,Eastbourne,13200679,4b,1440U2403_/0020,0,696,717,26
99,12,U2385,M105,2,6.5,30,UU,ST LAWRENCE MEWS,4 Eastbourne,Eastbourne,42700470,4b,1440U2385_/0012,0,801,855,26
99,12,U2308,M105,2,6.5,30,UU,GALVESTON CLOSE,4 Eastbourne,Eastbourne,13201166,4b,1440U2308_/0012,0,66,676,25
99,12,U2271,M105,2,6.5,30,UU,HAMBLETON CLOSE,4 Eastbourne,Eastbourne,13201166,4b,1440U2271_/0092,0,651,628,28
99,13,U2224,M105,2,6.5,30,UU,BEMBRIDGE ROAD,4 Eastbourne,Eastbourne,42702612,4b,1440U2224_/0118,0,106,475,27
99,12,U2206,M105,2,6.5,30,UU,WORDSWORTH DRIVE,4 Eastbourne,Eastbourne,16901285,4b,1440U2206_/0014,0,996,703,28
99,12,U2316,M105,2,6.5,30,UU,KILPATRICK CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2316_/0022,0,706,853,28
99,13,U2203,M105,2,6.5,30,UU,ETCHINGHAM ROAD SERVICE ROAD 1,4 Eastbourne,Eastbourne,42702324,4b,1440U2203_/0035,0,36,326,28
99,13,U2271,M105,2,6.5,30,UU,SNOWDON CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2271_/0072,0,781,797,28
99,13,U2192,M105,2,6.5,30,UU,COLLINGWOOD CLOSE,4 Eastbourne,Eastbourne,16901285,4b,1440U2192_/0148,0,61,723,25
99,14,U2306,M105,2,6.5,30,UU,ELGAR WAY,4 Eastbourne,Eastbourne,42702444,4b,1440U2306_/0012,0,256,79,28
99,14,U2271,M105,2,6.5,30,UU,MARLBOROUGH CLOSE,4 Eastbourne,Eastbourne,42700933,4b,1440U2271_/0102,0,6,112,28
99,13,U2224,M105,2,6.5,30,UU,SANDOWN CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2224_/0122,0,71,606,28
99,14,U2271,M105,2,6.5,30,UU,PENTLAND CLOSE,4 Eastbourne,Eastbourne,42702612,4b,1440U2271_/0114,0,6,214,28
99,14,U2192,M105,2,6.5,30,UU,BENBOW AVENUE,4 Eastbourne,Eastbourne,32500396,4b,1440U2192_/0032,0,591,23,25
99,14,U2301,M105,2,6.5,30,UU,CHILTERN CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2301_/0012,0,436,194,28
99,14,U2353,M105,2,6.5,30,UU,SOUTHAMPTON CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2353_/0012,0,406,64,25
99,13,U2327,M105,2,6.5,30,UU,QUEBEC CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2327_/0022,0,1,945,25
99,14,U2271,M105,2,6.5,30,UU,SNOWDON CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2271_/0074,0,691,10,28
99,14,U2344,M105,2,6.5,30,UU,WHITBREAD CLOSE,4 Eastbourne,Eastbourne,13200662,4b,1440U2344_/0012,0,6,438,28
99,13,U2336,M105,2,6.5,30,UU,WALTON CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2336_/0012,0,341,766,28
99,13,U2275,M105,2,6.5,30,UU,HADLOW AVENUE,4 Eastbourne,Eastbourne,42700933,4b,1440U2275_/0032,0,701,792,28
99,14,U2319,M105,2,6.5,30,UU,LAUGHTON CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2319_/0012,0,1,42,28
99,13,U2602,M105,2,6.5,30,UU,LONG BEACH CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2602_/0012,0,561,617,26
99,13,U7142,M105,2,6.5,30,UU,COTSWOLD CLOSE,4 Eastbourne,Eastbourne,42702159,4b,1440U7142_/0022,0,766,766,28
99,13,U2354,M105,2,6.5,30,UU,PLYMOUTH CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2354_/0012,0,366,949,25
99,13,U2192,M105,2,6.5,30,UU,BENBOW AVENUE,4 Eastbourne,Eastbourne,32500396,4b,1440U2192_/0034,0,121,706,25
99,13,U2298,M105,2,6.5,30,UU,CAIRNGORM CLOSE,4 Eastbourne,Eastbourne,42702612,4b,1440U2298_/0012,0,11,812,28
99,14,U2394,M105,2,3.78,30,UU,SALVADOR CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2394_/0012,0,996,988,25
99,14,U2222,M105,2,6.5,30,UU,SORREL CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2222_/0112,0,131,54,28
99,14,U2224,M105,2,6.5,30,UU,SHANKLIN CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2224_/0134,0,911,306,28
99,14,U2293,M105,2,6.5,30,UU,AYSCUE CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2293_/0012,0,996,123,25
99,13,U2402,M105,2,6.5,30,UU,SAMOA WAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2402_/0030,0,261,662,26
99,13,U2275,M105,2,6.5,30,UU,BURWASH CLOSE,4 Eastbourne,Eastbourne,42700933,4b,1440U2275_/0054,0,996,606,28
99,14,U2332,M105,2,6.5,30,UU,STONEGATE CLOSE,4 Eastbourne,Eastbourne,42700470,4b,1440U2332_/0020,0,6,21,28
99,14,U2401,M105,2,6.5,30,UU,VANCOUVER ROAD,4 Eastbourne,Eastbourne,42700470,4b,1440U2401_/0012,0,406,404,26
99,14,U2275,M105,2,6.5,30,UU,MICHELHAM CLOSE,4 Eastbourne,Eastbourne,42702628,4b,1440U2275_/0022,0,191,106,28
99,13,U2383,M105,2,6.5,30,UU,BRISBANE QUAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2383_/0012,0,756,539,26
99,15,U2601,M105,2,6.5,30,UU,LONG BEACH MEWS,4 Eastbourne,Eastbourne,42700470,4b,1440U2601_/0012,0,456,9,26
99,15,U2271,M105,2,6.5,30,UU,CLEVELAND CLOSE,4 Eastbourne,Eastbourne,13200680,4b,1440U2271_/0054,0,1,371,28
99,14,U2364,M105,2,6.5,30,UU,COLUMBUS DRIVE,4 Eastbourne,Eastbourne,42700470,4b,1440U2364_/0012,0,666,508,25
99,14,U2317,M105,2,6.5,30,UU,KINGSMERE WAY,4 Eastbourne,Eastbourne,42700470,4b,1440U2317_/0012,0,6,947,25
99,14,U2271,M105,2,6.5,30,UU,PURBECK CLOSE,4 Eastbourne,Eastbourne,42701153,4b,1440U2271_/0032,0,131,608,28
99,15,U2296,M105,2,6.5,30,UU,BROAD OAK CLOSE,4 Eastbourne,Eastbourne,13200912,4b,1440U2296_/0030,0,916,124,28
99,14,U7327,M105,2,6.5,30,UU,WILDWOOD,3 Wealden,Westham,42701747,4b,1440U7327F/0046,0,1,844,28
